AV,SiOSi_std,SiOSi_min,g_dft,SiO_gmean,SiOSi_gmean,SiOSi_skew,k_dft,SiOSi_average,spg,SiOSi_hmean,largest_included_sphere,SiOSi_var,mode_dim,SiO_var,SiOSi_max,NASA,VolFrac,volume,SiO_mean,NAV,max_dim,SiO_min,SiO_skew,ASA,largest_included_sphere_free,SiOSi_mean,SiO_average,density,min_dim,SiO_max,largest_free_sphere,SiO_std,SiO_hmean
0.00615136,16.93813534,121.8764086,28.27970196,1.612895733,148.4948245,0.231826163,62.64397602,149.4478852,2,147.5508854,3.76895,286.9004287,1,0.000141495,180,1.67024,0.01244,16.44514145,1.612939492,0,1,1.599003952,0.484551111,0,3.76551,149.4478852,1.612939492,2.022326293,1,1.632786241,2.60985,0.011895169,1.612852077
0,13.3881128,126.4322482,27.93043212,1.612347666,147.169149,0.579127066,23.74151149,147.7605618,2,146.5917716,2.87966,179.2415644,0,0.000201142,180,0,0,15.39017512,1.612409956,0.000138828,0,1.593971223,0.238646614,0,2.86563,147.7605618,1.612409956,2.160952795,0,1.63710273,1.9573,0.014182452,1.612285462
0.0126832,16.39042702,131.4657389,32.1285273,1.611935674,152.119388,0.277167756,28.25252971,152.9860798,2,151.2678749,3.82296,268.6460978,1,5.46E-06,180,13.4642,0.02492,16.92653777,1.611937371,0,1,1.607174602,-0.791091507,0,3.75076,152.9860798,1.611937371,1.964810666,1,1.615045463,3.36427,0.002337595,1.611933977
0,17.90639001,121.6218685,30.11648688,1.611483911,147.6481116,0.431300044,35.06359116,148.7011165,2,146.6229844,3.01799,320.6388032,0,0.000140096,180,0,0,14.31152708,1.611527159,0.000154918,0,1.600634621,1.040517382,0,3.01799,148.7011165,1.611527159,2.323822032,0,1.635181732,1.36063,0.01183621,1.611440883
0,19.37860516,123.2079128,31.94303849,1.598452454,146.1900736,0.499664001,59.97295519,147.4229365,2,145.0037839,3.36265,375.5303381,0,9.50E-05,180,0,0,16.51916264,1.598482172,0.00367564,0,1.583584292,0.009467635,0,3.3478,147.4229365,1.598482172,2.013264393,0,1.613213335,2.47056,0.009747275,1.598422736
0,14.22935366,123.5720496,36.20123699,1.612077864,141.7152433,0.384665711,33.30561992,142.4125264,2,141.0338,3.30065,202.4745056,0,6.90E-05,167.7381162,0,0,14.28431354,1.612099166,0.00265437,0,1.600369182,1.157544714,0,3.30065,142.4125264,1.612099166,2.328249226,0,1.631336167,2.2644,0.008303837,1.612056645
0,13.02140027,129.2929734,35.26268795,1.612810475,146.5663883,0.98917116,45.58022531,147.1158909,2,146.0414339,3.07991,169.5568651,0,0.000165768,180,0,0,16.01356143,1.61286161,0.00197417,0,1.599530711,0.943021753,0,3.07991,147.1158909,1.61286161,2.076829822,0,1.638000022,2.4277,0.012875079,1.612759594
0.00577699,12.71390021,123.1039829,40.01076202,1.60042294,143.7016465,1.067456727,55.84498872,144.2346455,2,143.1928257,3.94703,161.6432586,1,0.000216855,180,17.4247,0.01288,14.91668628,1.600490241,0,1,1.584715643,1.089021686,0,3.94703,144.2346455,1.600490241,2.22954625,1,1.632388059,3.0799,0.014725992,1.600356082
0.00993897,13.31031646,136.2899047,38.07211128,1.601096341,159.5172825,-0.076064574,46.76193492,160.0759068,2,158.954344,3.69941,177.1645244,1,4.89E-06,180,2.51101,0.01964,16.83009745,1.601097867,0,1,1.59766413,0.015581154,0,3.68836,160.0759068,1.601097867,1.976069481,1,1.604789746,3.16016,0.002211079,1.601094814
0.00669376,14.86113775,132.5027379,32.3141073,1.605907386,152.6938443,0.284524694,27.08905348,153.4047823,2,151.9941026,3.67095,220.8534153,1,0.000140325,179.9999991,0.187341,0.01322,16.83935198,1.60595081,0,1,1.590689991,1.26168175,0,3.67095,153.4047823,1.60595081,1.974983478,1,1.640973129,2.6843,0.011845903,1.605864223
